true;1001;Alex;20292928;1992-01-21;true;false;CRAWL;BUTTERFLY;BACKCRAWL
true;1002;Mikkel;92897373;1990-12-21;true;false;CRAWL;BUTTERFLY;BACKCRAWL;FREESTYLE
true;1003;alexander;209283823;1996-01-13;true;false;CRAWL;BUTTERFLY
false;1004;Oliver;28886474;1992-02-11;true;false
true;1111;Henrik;90181606;1954-11-04;false;false;BREASTSTROKE
true;1112;Oliver;48833829;1901-08-12;false;false;BACKCRAWL
true;1113;Marry;67736291;2007-07-11;true;true;BACKCRAWL
true;1114;Marry;28642635;1913-10-11;false;false;CRAWL
true;1115;Jenny;19026983;1991-04-05;false;false;BUTTERFLY
true;1116;Liam;81326249;2010-05-07;false;false;CRAWL
true;1117;Marry;109278732;1966-07-20;false;false;CRAWL
true;1118;Addison;35162980;1906-12-20;true;true;FREESTYLE
true;1119;Henrik;107199839;2012-02-06;true;true;FREESTYLE
true;1120;Patrick;43234578;1905-06-18;true;true;FREESTYLE
true;1121;Patrick;110781877;2011-04-17;true;true;BREASTSTROKE
true;1122;Henrik;56557088;1985-06-22;false;false;CRAWL
true;1123;Jenifer;50894109;1961-12-21;true;true;BREASTSTROKE
true;1124;Gordon;47167348;1996-01-01;true;true;CRAWL
true;1125;Pippy;21563995;1916-04-19;false;false;CRAWL
true;1126;Gordon;72234133;1903-03-02;false;false;BUTTERFLY
true;1127;Patrick;88131017;1989-06-26;false;false;BREASTSTROKE
true;1128;Jenny;62493128;1942-01-24;true;true;CRAWL
true;1129;James;111005334;1964-02-21;true;true;BREASTSTROKE
true;1130;Gordon;50143185;1970-03-12;false;false;BREASTSTROKE
true;1131;Liam;20025648;1940-01-14;false;false;BACKCRAWL
true;1132;Jenifer;100467258;1904-06-02;false;false;BACKCRAWL
true;1133;Zoro;63144686;1954-06-20;false;false;BUTTERFLY
true;1134;Pippy;61220613;1933-10-23;true;true;CRAWL
true;1135;Addison;68374466;1943-08-25;true;true;BACKCRAWL
true;1136;James;62758874;1916-05-19;true;true;BACKCRAWL
true;1137;Henrik;94141221;1954-12-16;true;true;CRAWL
true;1138;James;94108692;1910-05-04;true;true;BUTTERFLY
true;1139;Mike;20332066;2016-03-07;false;false;FREESTYLE
true;1140;Pippy;44407735;1928-12-05;false;false;BREASTSTROKE
true;1141;Patrick;59121059;1959-09-12;false;false;CRAWL
true;1142;Oliver;41044287;1965-07-15;true;true;BREASTSTROKE
true;1143;Jenifer;46827234;1907-07-03;true;true;BREASTSTROKE
true;1144;Jenifer;32567026;1922-06-10;true;true;BREASTSTROKE
true;1145;Zoro;61758463;1957-08-18;true;true;BACKCRAWL
true;1146;Oliver;104149388;2020-12-19;false;false;CRAWL
true;1147;Brim;85747865;1905-06-10;false;false;FREESTYLE
true;1148;Patrick;32322947;1977-04-26;true;true;CRAWL
true;1149;Zoro;95692778;2006-01-15;true;true;FREESTYLE
true;1150;James;82957052;1989-05-05;false;false;BUTTERFLY
true;1151;Oliver;78734549;1936-02-24;false;false;CRAWL
true;1152;Mike;43007937;1910-08-03;false;false;BUTTERFLY
true;1153;Henrik;105689608;1994-10-14;true;true;CRAWL
true;1154;Allison;77505118;2020-05-26;true;true;BREASTSTROKE
true;1155;Pippy;42148242;1974-12-11;false;false;BUTTERFLY
true;1156;Bob;60449687;1918-07-17;true;true;CRAWL
true;1157;Jenny;27971015;1904-01-23;false;false;BREASTSTROKE
true;1158;Henrik;33811936;1969-02-25;true;true;FREESTYLE
true;1159;Jenifer;35295891;1942-03-18;true;true;FREESTYLE
true;1160;Bob;23387315;1946-10-26;true;true;BUTTERFLY
true;1161;Liam;110534191;1942-04-20;true;true;BUTTERFLY
true;1162;Pippy;44062117;1995-05-25;true;true;BACKCRAWL
true;1163;Patrick;72342938;1945-08-27;false;false;CRAWL
true;1164;Jason;39062401;1965-10-18;false;false;CRAWL
true;1165;Zoro;63735861;1923-05-25;true;true;FREESTYLE
true;1166;Henrik;29462826;1943-10-05;false;false;CRAWL
true;1167;Brim;53371785;1900-08-08;true;true;BACKCRAWL
true;1168;Henrik;61939600;1930-09-08;true;true;BUTTERFLY
true;1169;Pippy;79858437;2013-02-17;true;true;BACKCRAWL
true;1170;Liam;94720741;2020-08-02;false;false;CRAWL
true;1171;Oliver;79845981;2011-03-12;false;false;BACKCRAWL
true;1172;Allison;13655659;2000-03-08;true;true;BUTTERFLY
true;1173;Henrik;75365764;2012-11-25;true;true;BACKCRAWL
true;1174;Liam;77001081;1972-12-07;true;true;BACKCRAWL
true;1175;Oliver;55061046;2001-05-25;false;false;CRAWL
true;1176;Henrik;97038220;1968-02-11;true;true;CRAWL
true;1177;Pippy;23017132;1960-02-20;false;false;FREESTYLE
true;1178;Allison;45957979;1956-06-09;false;false;BACKCRAWL
true;1179;Oliver;46553093;1977-01-12;false;false;BACKCRAWL
true;1180;Mike;77936261;1918-04-09;true;true;BACKCRAWL
true;1181;Jenny;82810014;1995-01-23;true;true;CRAWL
true;1182;Patrick;98382079;1940-01-23;true;true;FREESTYLE
true;1183;Henrik;59043817;1943-08-28;true;true;CRAWL
true;1184;James;23701958;1952-05-25;false;false;BUTTERFLY
true;1185;Zoro;110526055;1963-08-01;true;true;BACKCRAWL
true;1186;Gordon;88821505;1968-10-14;true;true;CRAWL
true;1187;Jason;84441271;1958-05-05;true;true;FREESTYLE
true;1188;Marry;51935193;1927-02-11;true;true;CRAWL
true;1189;Oliver;102524122;1949-01-15;false;false;BUTTERFLY
true;1190;Liam;32499672;1928-01-05;false;false;BUTTERFLY
true;1191;Liam;47279012;1911-09-16;true;true;FREESTYLE
true;1192;James;35879502;1978-11-05;false;false;FREESTYLE
true;1193;Patrick;35424304;1998-06-13;false;false;BUTTERFLY
true;1194;James;29108490;1926-05-09;true;true;FREESTYLE
true;1195;Jenny;94825356;1960-12-17;true;true;BACKCRAWL
true;1196;Bob;82662304;1938-04-20;true;true;FREESTYLE
true;1197;Jenifer;87332928;1997-11-02;false;false;FREESTYLE
true;1198;Jenifer;106382092;1940-07-02;true;true;BUTTERFLY
true;1199;Henrik;77598348;1975-09-11;false;false;BUTTERFLY
true;1200;Mike;53088592;1925-04-15;false;false;FREESTYLE
true;1201;Oliver;33827887;1962-09-02;true;true;BUTTERFLY
true;1202;Allison;37062276;1944-02-27;true;true;CRAWL
true;1203;Gordon;59452847;1989-06-15;false;false;BUTTERFLY
true;1204;Patrick;106795233;1945-08-27;true;true;FREESTYLE
true;1205;James;64151228;1956-03-08;false;false;FREESTYLE
true;1206;Allison;49966349;1963-04-14;true;true;BUTTERFLY
true;1207;Jenny;27558911;1932-10-19;false;false;BREASTSTROKE
true;1208;Liam;85149663;1938-07-05;true;true;FREESTYLE
true;1209;Zoro;31384179;1914-04-06;true;true;BUTTERFLY
true;1210;Oliver;86046367;1982-09-12;false;false;BACKCRAWL
true;1211;Pippy;65953572;1928-08-12;true;true;BACKCRAWL
true;1212;James;80231715;1968-01-14;true;true;BREASTSTROKE
true;1213;Zoro;103111553;2017-11-21;true;true;BREASTSTROKE
true;1214;Marry;91286221;1919-06-09;false;false;FREESTYLE
true;1215;Jason;12084918;2011-07-10;true;true;FREESTYLE
true;1216;Patrick;36646270;2019-02-23;false;false;BREASTSTROKE
true;1217;Bob;72904894;1947-11-18;false;false;BACKCRAWL
true;1218;Zoro;98921730;1930-07-08;false;false;FREESTYLE
true;1219;Oliver;39395322;1930-11-23;true;true;BACKCRAWL
true;1220;Jenifer;100094865;1964-06-01;true;true;BREASTSTROKE
true;1221;Mike;90279543;1995-09-28;true;true;BUTTERFLY
true;1222;Addison;49265162;2000-05-02;false;false;CRAWL
true;1223;Zoro;71835873;1997-09-20;true;true;BACKCRAWL
true;1224;Jason;57030888;1985-07-08;false;false;CRAWL
true;1225;Patrick;69559438;1948-03-20;false;false;BUTTERFLY
true;1226;Brim;53691474;1918-03-06;true;true;CRAWL
true;1227;Liam;55806092;1968-08-16;false;false;BUTTERFLY
true;1228;Henrik;100423701;2021-03-07;true;true;BREASTSTROKE
true;1229;Addison;54814016;1939-08-02;true;true;BACKCRAWL
true;1230;Gordon;19455620;1933-02-22;true;true;BACKCRAWL
true;1231;Jenny;100526594;1921-04-20;true;true;BREASTSTROKE
true;1232;Marry;91035037;2017-09-27;true;true;FREESTYLE
true;1233;Patrick;105196949;1911-04-21;true;true;BUTTERFLY
true;1234;Jenifer;79539983;2000-01-12;true;true;BREASTSTROKE
true;1235;Bob;72841571;1901-01-24;true;true;CRAWL
true;1236;Patrick;20335146;1918-01-24;false;false;FREESTYLE
true;1237;Jenifer;66552968;1924-08-18;false;false;BUTTERFLY
true;1238;Marry;93398196;1907-08-12;false;false;BACKCRAWL
true;1239;Zoro;45356222;1943-04-27;true;true;FREESTYLE
true;1240;Brim;26480192;1941-04-14;true;true;FREESTYLE
true;1241;Jason;18132561;1949-10-01;false;false;CRAWL
true;1242;Brim;105245425;1993-03-03;false;false;CRAWL
true;1243;Patrick;56553003;1985-08-06;false;false;FREESTYLE
true;1244;Addison;54380431;2021-09-28;false;false;FREESTYLE
true;1245;Liam;98352369;1999-08-21;false;false;FREESTYLE
true;1246;Jenifer;73245033;1905-10-25;true;true;FREESTYLE
true;1247;Allison;66693830;1915-01-21;true;true;FREESTYLE
true;1248;Jenifer;26378622;2013-12-10;false;false;BUTTERFLY
true;1249;Pippy;90565501;2005-10-03;false;false;BUTTERFLY
true;1250;Gordon;46176395;1916-10-06;false;false;CRAWL
true;1251;James;35766420;1974-12-03;false;false;BREASTSTROKE
true;1252;Zoro;41921224;1901-02-22;true;true;BUTTERFLY
true;1253;Mike;72779537;1906-03-15;true;true;CRAWL
true;1254;Liam;63515410;1917-06-05;true;true;BREASTSTROKE
true;1255;Patrick;87151273;1976-11-09;false;false;BUTTERFLY
true;1256;Pippy;50421493;1936-01-06;true;true;BUTTERFLY
true;1257;Jenifer;52547758;1954-10-12;true;true;CRAWL
true;1258;Patrick;13061501;1974-07-27;false;false;BUTTERFLY
true;1259;Patrick;45849117;1966-04-07;false;false;FREESTYLE
true;1260;Gordon;63180691;1909-07-22;false;false;BACKCRAWL
true;1261;Marry;45677440;1928-10-03;true;true;CRAWL
true;1262;Mike;106944637;1938-03-07;true;true;BUTTERFLY
true;1263;Bob;67461645;1947-07-04;true;true;BACKCRAWL
true;1264;Liam;108305213;1955-04-16;false;false;BREASTSTROKE
true;1265;Jenny;102693004;1986-08-16;true;true;CRAWL
true;1266;Oliver;62662525;1966-12-18;true;true;BUTTERFLY
true;1267;Zoro;41732734;1937-06-13;false;false;CRAWL
true;1268;Henrik;102361468;1984-02-06;true;true;BREASTSTROKE
true;1269;Mike;26599912;1950-10-14;true;true;FREESTYLE
true;1270;Addison;102497817;2007-06-04;true;true;BUTTERFLY
true;1271;James;29293956;1969-11-01;false;false;FREESTYLE
true;1272;James;102445032;1931-07-20;false;false;BREASTSTROKE
true;1273;Jenny;28338097;1900-07-26;false;false;BACKCRAWL
true;1274;Oliver;47900161;1942-11-21;false;false;BUTTERFLY
true;1275;Liam;72970561;1912-10-18;true;true;CRAWL
true;1276;Patrick;74987550;1956-06-24;true;true;BUTTERFLY
true;1277;Allison;41150444;1998-03-07;true;true;FREESTYLE
true;1278;James;73038802;1902-09-16;true;true;BREASTSTROKE
true;1279;Marry;12993900;1954-09-10;false;false;BACKCRAWL
true;1280;Zoro;42750675;1965-11-23;false;false;BUTTERFLY
true;1281;Liam;64027585;1988-07-24;false;false;BACKCRAWL
true;1282;Pippy;41975058;1982-09-25;true;true;CRAWL
true;1283;Jenny;14542718;1981-01-01;true;true;FREESTYLE
true;1284;Marry;47195909;1957-12-23;true;true;BREASTSTROKE
true;1286;Jason;39651818;2002-06-18;true;true;FREESTYLE
true;1287;Henrik;82213722;1943-12-14;true;true;FREESTYLE
true;1288;Mike;95711883;1977-05-07;false;false;BUTTERFLY
true;1289;Addison;55338690;1909-06-16;true;true;CRAWL
true;1290;Oliver;23812711;2009-09-25;false;false;BUTTERFLY
true;1291;Patrick;99198141;1968-03-14;true;true;BUTTERFLY
true;1292;Liam;50111842;1987-03-02;false;false;BACKCRAWL
true;1293;Oliver;56187030;1903-02-04;true;true;CRAWL
true;1294;Gordon;62994294;1982-03-13;false;false;BACKCRAWL
true;1295;Mike;59322348;1901-02-08;false;false;BACKCRAWL
true;1296;Henrik;47688607;1955-10-28;true;true;FREESTYLE
true;1297;James;12522336;1971-04-17;true;true;BACKCRAWL
true;1298;Patrick;71897358;1973-07-19;true;true;CRAWL
true;1299;Bob;11775644;1931-12-01;false;false;BACKCRAWL
true;1300;Oliver;77766966;1912-01-22;true;true;BACKCRAWL
true;1301;Henrik;73411736;2014-04-19;true;true;BACKCRAWL
true;1302;Jenny;24908894;1947-10-18;true;true;CRAWL
true;1303;Bob;50234430;1928-10-08;false;false;BACKCRAWL
true;1304;Gordon;63212324;1905-09-28;true;true;BUTTERFLY
